,id,name,slug,website,place,functioning,secure,country,mp3,place_name,place_geo,place_geo_x,place_geo_y,geometry,len_mp3,trail_mp3
6317,z1N8nScp,Ipswich Community Radio,ipswich-community-radio,http://www.icrfm.com/,"{'name': 'Ipswich', 'geo': [1.14822, 52.056736]}",True,False,United Kingdom,http://feed.icrfm.com:8000/ICRFM,Ipswich,"[1.14822, 52.056736]",1.14822,52.056736,POINT (1.14822 52.056736),32,True
6319,N0EvEOHN,Radio Couserans,radio-couserans,http://radiocouserans.fr/,"{'name': 'Saint-Girons', 'geo': [1.146088, 42.982876]}",True,False,France,http://radiocouserans.ice.infomaniak.ch/radiocouserans-128.mp3,Saint-Girons,"[1.146088, 42.982876]",1.146088,42.982876,POINT (1.146088 42.982876),62,True
6320,v9BgJkoC,Ràdio Tàrrega,radio-tarrega,http://www.radiotarrega.cat/Home/_H4QS29qxa737JPhmivu_dlaEo2PY966FDZ6v93Txi1p69oAr4MFdrQ,"{'name': 'Tàrrega', 'geo': [1.1409432, 41.6480797]}",True,False,Spain,http://streaming.enantena.com:8000/radiotarrega128.mp3,Tàrrega,"[1.1409432, 41.6480797]",1.1409432,41.6480797,POINT (1.1409432 41.6480797),54,True
6322,labEDDAJ,Cabin FM 94.6,radiocabin,http://www.cabin.fm,"{'name': 'Herne Bay', 'geo': [1.127771, 51.370922]}",True,False,United Kingdom,http://149.255.59.3:8017/live,Herne Bay,"[1.127771, 51.370922]",1.127771,51.370922,POINT (1.127771 51.370922),29,True
6324,2MMrfKxI,Park Radio 107.6,park-radio-107-6,http://www.parkradio.co.uk,"{'name': 'Diss', 'geo': [1.108394, 52.376491]}",True,False,United Kingdom,http://51.255.127.128:8026/stream.mp3,Diss,"[1.108394, 52.376491]",1.108394,52.376491,POINT (1.108394 52.376491),37,True
6325,qFI7c3-3,Radio Campus Rouen FM 92.9,radio-campus-rouen-fm-92-9,http://radiocampusrouen.fr,"{'name': 'Rouen', 'geo': [1.099971, 49.443232]}",True,False,France,http://live.radio-campus.org:8000/campusrouen,Rouen,"[1.099971, 49.443232]",1.099971,49.443232,POINT (1.099971 49.443232),45,True
6329,WSfghIvO,EKR Easy Rock Paradise,ekr-easy-rock-paradise,http://ekrdigital.com/rock-radio/,"{'name': 'Canterbury', 'geo': [1.0789089, 51.280233]}",True,False,United Kingdom,http://62.75.215.7:8200/stream,Canterbury,"[1.0789089, 51.280233]",1.0789089,51.280233,POINT (1.0789089 51.280233),30,True
6330,fjMPMILt,EKR European Klassik Rock,ekr-european-klassik-rock,http://ekrdigital.com/european-klassik-rock/,"{'name': 'Canterbury', 'geo': [1.0789089, 51.280233]}",True,False,United Kingdom,http://62.75.215.7:8100/stream,Canterbury,"[1.0789089, 51.280233]",1.0789089,51.280233,POINT (1.0789089 51.280233),30,True
6331,rrxayPvj,EKR Now Zone,ekr-now-zone,http://ekrdigital.com/now-zone/,"{'name': 'Canterbury', 'geo': [1.0789089, 51.280233]}",True,False,United Kingdom,http://62.75.215.7:8500/stream,Canterbury,"[1.0789089, 51.280233]",1.0789089,51.280233,POINT (1.0789089 51.280233),30,True
6332,vY4lDvMO,EKR Oldies Paradise,ekr-oldies-paradise,http://ekrdigital.com/classic-gold/,"{'name': 'Canterbury', 'geo': [1.0789089, 51.280233]}",True,False,United Kingdom,http://62.75.215.7:8300/stream,Canterbury,"[1.0789089, 51.280233]",1.0789089,51.280233,POINT (1.0789089 51.280233),30,True
